,Cod_ID,NOME_UDH,NOME_MUN,IDHM,IDHM_E,IDHM_R,IDHM_L,E_ANOSESTUDO,I_ESCOLARIDADE,I_FREQ_PROP,GINI,CPR
1191,1315670004016,Sabará : Centro Histórico,Sabará (MG),0.843,0.816,0.813,0.904,10.02,0.799,0.825,0.46,20.1
1192,1315670004017,Carvalho de Brito : Expansão de Santo Antônio da Roça Grande,Sabará (MG),0.665,0.58,0.643,0.787,9.05,0.442,0.664,0.42,17.98
1193,1315670004019,General Carneiro : Distrito Industrial Borges parte 1,Sabará (MG),0.681,0.621,0.644,0.791,9.1,0.473,0.712,0.38,16.94
1194,1315670004020,Alto do Fidalgo : Centro / Pericentro Histórico / Belgo Mineira,Sabará (MG),0.782,0.761,0.733,0.857,11.14,0.651,0.823,0.4,13.89
1195,1315670004021,Alto do Fidalgo : Arraial Velho / Morro da Cruz,Sabará (MG),0.665,0.58,0.643,0.787,9.05,0.442,0.664,0.42,17.98
1196,1315670004022,Alto do Fidalgo : Arraial Velho / Paciência,Sabará (MG),0.709,0.639,0.683,0.817,9.16,0.517,0.71,0.4,16.18
1197,1315670004023,Sabará : Santo Antônio da Roça Grande / Entorno,Sabará (MG),0.782,0.761,0.733,0.857,11.14,0.651,0.823,0.4,13.89
1198,1315670004024,General Carneiro : Centro / Vila Santa Cruz / Entorno Rural Norte,Sabará (MG),0.665,0.58,0.643,0.787,9.05,0.442,0.664,0.42,17.98
1199,1315670004026,Sabará : Rosário / Caieira,Sabará (MG),0.665,0.58,0.643,0.787,9.05,0.442,0.664,0.42,17.98
1200,1315670004027,Alto do Fidalgo,Sabará (MG),0.681,0.621,0.644,0.791,9.1,0.473,0.712,0.38,16.94
1201,1315780701001,Santa Luzia : Centro Histórico expandido,Santa Luzia (MG),0.786,0.709,0.771,0.889,9.9,0.614,0.762,0.49,17.75
1202,1315780701002,Santa Luzia : Santa Matilde / Embra,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1203,1315780701003,Lagoinha de Fora : Pinhões / Taquaraçu de Baixo,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1204,1315780701004,Vila Bom Destino : Loteamento Bom Destino,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1205,1315780701005,Vila Ferraz : Morada do Rio / Nossa Senhora das Graças / Frimisa,Santa Luzia (MG),0.768,0.713,0.736,0.863,9.82,0.624,0.762,0.45,15.9
1206,1315780701006,Vila Ferraz : Vila dos Dragões,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1207,1315780701007,Santa Luzia : Barreiro do Amaral / Angu Duro,Santa Luzia (MG),0.71,0.614,0.7,0.832,9.98,0.498,0.681,0.44,13.82
1208,1315780701008,Santa Luzia : Bairro 42 / Bonanza,Santa Luzia (MG),0.704,0.626,0.677,0.822,10.2,0.527,0.683,0.41,15.49
1209,1315780701009,Vila Bom Destino : Zona Rural de Santa Luzia / Zona Rural de Bom Destino,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1210,1315780701010,Bicas : D. I. 2 / Vila Santa Rita,Santa Luzia (MG),0.704,0.626,0.677,0.822,10.2,0.527,0.683,0.41,15.49
1211,1315780701011,Vila Bom Destino : Bom Destino / Zona Rural de Santa Luzia Sul,Santa Luzia (MG),0.71,0.614,0.7,0.832,9.98,0.498,0.681,0.44,13.82
1212,1315780701012,Santa Luzia : Parque Boa Esperança / Kennedy,Santa Luzia (MG),0.71,0.614,0.7,0.832,9.98,0.498,0.681,0.44,13.82
1213,1315780701013,Vila Ferraz : Zona Rural de Santa Luzia / Angu Duro,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1214,1315780701014,Bicas : Monte Carlo / Nossa Senhora das Graças,Santa Luzia (MG),0.704,0.626,0.677,0.822,10.2,0.527,0.683,0.41,15.49
1215,1315780701015,Santa Luzia : Industrial Americano / Bairro Imperial,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1216,1315780702016,Vila das Antenas : Conjunto Palmital,Santa Luzia (MG),0.641,0.556,0.63,0.752,10.12,0.441,0.624,0.37,13.29
1217,1315780702017,Vila Baronesa / Av. Oceania : Vila das Acácias,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1218,1315780702018,Vila Serra Pelada / Rua Líbano : Vila BaronesaI,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1219,1315780702019,Vila S. Beatriz / Rua Manoel Macedo : Vila Londrina,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1220,1315780702020,Vila Morro Alto : São Cosme,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1221,1315780702021,Vila das Antenas : Conjunto Cristina,Santa Luzia (MG),0.755,0.713,0.715,0.844,10.67,0.652,0.745,0.39,14.5
1222,1315780702022,São Benedito: Centro Expandido,Santa Luzia (MG),0.705,0.635,0.675,0.816,10.46,0.529,0.696,0.4,14.86
1223,1315780702023,São Benedito : Cemitério / Igreja Batista,Santa Luzia (MG),0.722,0.67,0.682,0.825,10.68,0.571,0.726,0.37,16.74
1224,1315780702024,Vila União : Belo Vale / Azteca / Baronesa,Santa Luzia (MG),0.756,0.73,0.706,0.84,10.94,0.636,0.782,0.42,16.74
1225,1315780702025,Vila União : Vila Baronesa II,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1226,1315780702027,Vila Sesc : Conjunto Palmital / Castanheira / Zona Rural,Santa Luzia (MG),0.62,0.528,0.612,0.737,9.43,0.395,0.611,0.38,17.2
1227,1315780702028,Vila Baronesa / Av. Oceania : Entorno Chácara Santa Inês / Gameleira,Santa Luzia (MG),0.704,0.626,0.677,0.822,10.2,0.527,0.683,0.41,15.49
1228,1315780702029,Vila das Antenas : Conjunto Palmital / Av. João Batista Lima / Av. Inácio de Loiola Oliveira,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1229,1315780702030,Vila Nova Esperança : Caldeirão / Nova Conquista,Santa Luzia (MG),0.597,0.475,0.608,0.736,8.9,0.366,0.541,0.37,14.37
1230,1316292000001,São Joaquim de Bicas,São Joaquim de Bicas (MG),0.662,0.518,0.664,0.844,8.19,0.42,0.575,0.44,16.48
1231,1316295000001,São José da Lapa,São José da Lapa (MG),0.729,0.679,0.677,0.844,10.04,0.54,0.761,0.42,15.8
1232,1316553000001,Sarzedo,Sarzedo (MG),0.734,0.643,0.706,0.871,9.93,0.548,0.697,0.46,18.38
1233,1316830000001,Taquaraçu de Minas,Taquaraçu de Minas (MG),0.651,0.525,0.643,0.818,9.16,0.328,0.665,0.45,22.47
1234,1317120401001,Morro Alto,Vespasiano (MG),0.639,0.529,0.638,0.772,7.81,0.388,0.617,0.37,13.09
1235,1317120401002,Nova Pampulha : Nova York / Nova Pampulha / Bom Sucesso,Vespasiano (MG),0.636,0.517,0.64,0.779,9.55,0.368,0.613,0.38,15.55
1236,1317120401003,Jardim Daliana : Bernardo de Souza / Vila Esportiva,Vespasiano (MG),0.694,0.611,0.665,0.821,9.75,0.501,0.675,0.36,16.25
1237,1317120401004,Cipriano : Santa Clara / Vila Esportiva ( Núcleo ),Vespasiano (MG),0.712,0.643,0.679,0.826,9.03,0.513,0.72,0.37,12.82
1238,1317120401005,Célvia : Marcelão / Vila do Bode,Vespasiano (MG),0.639,0.529,0.638,0.772,7.81,0.388,0.617,0.37,13.09
1239,1317120401006,Santo Antônio : Centro / Soeicom / Distrito Industrial,Vespasiano (MG),0.844,0.776,0.85,0.912,10.72,0.697,0.819,0.62,19.84
1240,1317120401007,Caieira : Conjunto Caieira,Vespasiano (MG),0.721,0.631,0.711,0.836,8.35,0.569,0.664,0.42,18.37
1241,1317120401008,Célvia : Célvia / Fagundes,Vespasiano (MG),0.712,0.643,0.679,0.826,9.03,0.513,0.72,0.37,12.82
1242,1317120401009,Vespasiano : Bela Vista / Alphaville / Angicos,Vespasiano (MG),0.721,0.631,0.711,0.836,8.35,0.569,0.664,0.42,18.37
1243,1317120401010,Novo Horizonte : Bom Sucesso / Santa Clara / Cipriano,Vespasiano (MG),0.632,0.542,0.624,0.746,8.15,0.391,0.638,0.37,10.89
1244,1317120401011,Nova Cachoeira : Jardim Encantado / Cipriano,Vespasiano (MG),0.721,0.631,0.711,0.836,8.35,0.569,0.664,0.42,18.37
1245,1317120401012,Areias : Ribeirão das Areias / Bairro Aparecida / Carrancas,Vespasiano (MG),0.639,0.529,0.638,0.772,7.81,0.388,0.617,0.37,13.09
